Gene,M307_2ppm,M311_2ppm,M314_2ppm,M316_0ppm,M323_2ppm,M324_0ppm,M327_0ppm,M329_0ppm,M330_0ppm,M343_2ppm
Fance,151,50,97,72,126,60,6,26,172,51
Fancf,23,13,25,14,20,8,5,9,18,12
Fancg,170,57,109,77,135,41,33,42,61,71
Fanci,47,59,46,37,54,51,53,30,65,81
Fancl,127,83,88,82,116,50,18,22,144,53
Fancm,83,90,103,114,89,107,99,134,253,161
Fank1,101,56,160,106,210,79,17,34,46,57
Fap,10,21,19,23,9,23,22,26,10,22
Far1,2146,690,1332,1103,1493,499,80,344,635,686
Far2,470,200,406,283,460,147,35,109,310,199
Farp1,204,115,165,128,161,69,36,48,302,74
Farp2,227,155,180,165,173,108,42,95,108,123
Fars2,188,81,126,73,174,52,12,30,245,51
Farsa,218,133,187,99,196,48,4,37,260,74
Farsb,574,208,347,259,354,129,17,65,554,140
Fas,835,215,444,343,777,198,36,159,400,259
Fasl,3,2,7,8,3,4,7,6,2,14
Fasn,957,326,797,467,798,287,34,251,1950,434
Fastk,321,122,220,131,249,71,16,50,339,102
Fastkd1,113,64,104,71,124,56,52,64,52,78
Fastkd2,91,54,70,74,69,66,29,48,153,80
Fastkd3,80,41,33,66,48,22,13,17,115,15
Fastkd5,62,64,44,50,45,61,68,65,71,74
Fat1,618,236,498,287,743,274,60,196,1919,390
Fat2,25,72,37,56,16,84,102,101,21,95
Fat3,69,95,64,109,50,170,180,207,37,182
Fat4,67,54,48,101,43,74,114,109,17,95
Fate1,3,3,1,5,0,1,4,5,64,5
Fau,10,0,9,6,12,6,0,2,8,0
Faxc,35,34,33,36,27,31,65,47,11,49
Fbf1,433,111,248,204,306,122,24,66,405,99
Fbl,21,10,20,13,13,5,3,5,8,4
Fblim1,99,87,93,63,39,41,17,14,424,30
Fbll1,1,2,1,5,1,0,1,2,0,1
Fbln1,574,236,469,447,314,235,55,43,48,124
Fbln2,348,241,291,381,209,193,57,30,43,76
Fbln5,126,95,109,103,88,53,37,49,26,38
Fbln7,7,10,9,10,5,5,17,16,29,9
Fbn1,617,419,500,483,304,311,153,139,61,169
Fbn2,36,59,49,67,26,62,85,121,27,106
Fbp1,62,24,78,24,104,31,19,23,49,28
Fbp2,4,2,8,11,1,5,1,5,1,15
Fbrs,75,25,46,35,54,25,4,13,120,44
Fbrsl1,262,108,198,140,199,82,14,72,364,103
Fbxl12,148,45,127,64,114,55,12,31,94,68
Fbxl13,19,32,22,28,22,23,27,34,21,26
Fbxl14,232,83,169,88,132,53,20,40,424,74
Fbxl15,63,11,36,25,39,18,4,8,143,11
Fbxl16,10,10,11,10,4,14,9,13,3,12
Fbxl17,402,250,355,268,340,198,146,172,503,191
Fbxl18,29,20,20,22,12,8,6,11,37,11
Fbxl19,64,34,42,37,46,23,15,21,47,24
Fbxl2,34,18,48,30,25,26,13,12,40,37
Fbxl20,162,96,149,110,148,76,52,79,370,100
Fbxl21,21,5,10,20,14,18,32,22,4,20
Fbxl22,48,25,29,12,49,29,14,23,54,25
Fbxl3,1054,518,611,630,677,288,84,155,737,298
Fbxl4,375,125,173,184,306,97,23,82,265,135
Fbxl5,1071,410,708,534,731,285,73,124,876,290
Fbxl6,89,37,81,48,92,24,6,26,259,46
Fbxl7,12,30,5,20,13,20,29,35,8,21
Fbxl8,30,9,24,15,13,9,5,4,11,14
Fbxo10,383,194,281,235,265,160,18,96,995,182
Fbxo11,253,132,192,128,158,67,46,85,292,111
Fbxo15,7,18,11,16,10,21,31,27,4,26
