Gene,M307_2ppm,M311_2ppm,M314_2ppm,M316_0ppm,M323_2ppm,M324_0ppm,M327_0ppm,M329_0ppm,M330_0ppm,M343_2ppm
Gps1,160,42,100,90,121,44,6,23,216,36
Gps2,265,108,196,101,230,103,14,39,191,73
Gpsm1,79,54,68,62,68,36,14,15,62,25
Gpsm2,121,127,65,73,61,63,34,42,126,38
Gpsm3,78,91,72,47,74,29,8,10,27,13
Gpt,16,7,14,8,10,7,5,9,15,13
Gpt2,1021,410,954,556,808,349,38,180,1050,375
Gpx1,2180,1809,1510,1472,1600,674,121,226,1100,436
Gpx2,0,3,6,2,0,2,4,1,0,5
Gpx2-ps1,2,4,5,7,4,13,16,19,4,14
Gpx3,52323,39784,83897,39030,56413,26814,1671,10814,2820,28307
Gpx4,292,173,382,221,366,151,20,66,297,141
Gpx5,332,325,1071,201,237,212,63,105,1102320,210
Gpx6,15,17,20,16,17,19,23,29,481,25
Gpx7,61,54,49,41,32,12,15,7,173,15
Gpx8,180,183,177,131,102,60,20,18,1607,36
Gramd1a,61,48,72,45,69,50,12,28,196,59
Gramd1b,95,42,85,66,89,48,20,44,545,71
Gramd1c,121,90,115,74,107,62,44,63,118,71
Gramd2,49,52,89,34,50,21,5,27,5,31
Gramd3,426,117,248,210,369,113,24,74,317,123
Gramd4,574,100,327,295,414,105,16,58,692,108
Grap,32,37,49,35,15,13,11,9,16,19
Grap2,3,2,6,14,5,6,11,17,2,9
Grasp,42,44,30,27,21,20,8,3,11,22
Grb10,227,351,149,125,101,101,42,39,51,51
Grb14,75,37,72,70,76,45,12,22,9,33
Grb2,734,345,470,397,515,181,36,115,536,210
Grb7,535,168,398,234,436,154,17,75,353,161
Grcc10,971,381,709,452,885,226,13,130,1035,309
Greb1,25,39,55,59,34,60,54,67,584,52
Greb1l,30,59,28,39,15,51,96,71,23,51
Grem1,9,4,6,9,7,1,5,6,0,2
Grem2,160,26,58,86,129,30,10,9,2,27
Grhl1,300,72,180,145,244,81,20,69,261,110
Grhl2,472,115,319,208,319,130,42,102,746,209
Grhl3,2,12,7,13,4,10,10,14,9,13
Grhpr,338,164,267,205,344,108,10,51,362,101
Gria1,11,34,23,33,24,61,69,56,8,49
Gria2,26,33,28,63,11,51,72,67,433,57
Gria3,46,80,78,41,23,53,35,23,13,33
Gria4,25,50,57,39,21,52,59,59,7,48
Grid1,12,14,6,15,3,20,26,35,5,30
Grid2,8,13,11,18,3,30,27,35,3,30
Grid2ip,9,12,0,4,5,6,15,15,0,7
Grifin,0,0,1,0,0,1,0,0,1,1
Grik1,10,23,20,21,11,24,44,47,11,49
Grik2,16,21,16,26,8,26,40,49,21,30
Grik3,5,10,12,29,6,22,27,20,10,28
Grik4,10,18,9,20,7,19,36,29,37,28
Grik5,22,9,18,38,12,16,18,22,15,24
Grin1,6,4,4,6,5,8,15,9,2,4
Grin2a,6,3,10,15,0,5,9,20,1,7
Grin2b,23,35,29,41,26,72,57,83,10,69
Grin2c,4,4,3,4,2,6,10,7,1,2
Grin2d,39,37,67,64,113,32,22,18,30,32
Grin3a,13,62,51,41,19,56,84,88,12,73
Grin3b,16,5,6,13,16,11,6,8,15,8
Grina,1039,315,662,496,1023,274,29,171,2079,294
Grip1,30,16,24,16,38,34,38,30,21,29
Grip2,8,22,23,17,5,12,20,21,4,8
Gripap1,254,101,175,92,125,73,20,69,227,80
Grk1,4,7,13,29,4,25,21,28,3,13
Grk4,81,44,76,46,69,51,29,27,16,25
Grk5,44,18,49,44,46,32,20,35,42,30
Grk6,242,168,207,144,192,71,20,31,326,74
Grlf1,424,242,371,270,343,205,86,140,468,207
Grm1,8,14,9,20,7,17,28,31,14,24
Grm2,3,7,5,2,1,7,5,7,3,5
Grm3,3,19,14,8,3,22,18,25,4,14
Grm4,0,6,2,3,6,1,4,7,3,8
Grm5,43,43,42,53,22,70,94,82,16,57
Grm6,3,8,3,5,3,4,12,13,4,20
Grm7,5,13,5,18,5,23,31,28,8,16
Grm8,9,22,10,16,2,21,49,32,5,21
Grn,2882,1911,2186,1419,2537,1024,69,380,3913,848
Grp,0,0,1,10,0,2,0,2,0,0
Grpel1,733,269,475,391,572,170,21,82,730,179
Grpel2,155,59,121,81,120,48,26,40,223,77
Grpr,4,0,2,5,0,3,1,13,14,3
Grrp1,3,5,2,0,4,4,3,0,2,0
Grsf1,698,351,583,351,486,200,49,112,1161,231
Grtp1,16,13,19,13,13,10,6,11,75,16
Grwd1,124,66,94,73,81,44,13,25,128,34
Grxcr1,3,0,1,8,5,6,16,7,0,7
Grxcr2,1,2,0,6,0,8,3,10,1,4
Gsc,1,1,1,2,0,3,2,2,0,1
Gsc2,0,0,1,2,2,0,1,3,0,4
Gsdma,5,15,9,33,14,25,18,21,11,12
Gsdma2,4,7,3,7,6,9,10,13,4,13
Gsdma3,5,8,6,24,9,15,27,22,6,18
Gsdmc,7,10,10,7,1,9,6,6,1,5
Gsdmc2,4,10,8,14,7,13,11,14,2,5
Gsdmc3,5,3,4,7,5,8,16,16,2,15
Gsdmc4,7,12,7,9,0,19,24,17,4,17
Gsdmcl1,3,2,1,4,0,2,4,3,1,3
Gsdmcl-ps,1,1,3,9,6,3,8,5,5,11
Gsdmd,96,80,75,90,79,37,10,7,22,33
Gse1,261,83,205,102,226,69,15,67,361,120
Gsg1,511,272,1152,621,1799,786,170,203,254,398
Gsg1l,2,1,4,10,4,8,9,13,4,8
Gsg2,66,34,171,63,162,78,45,22,81,35
Gsk3a,686,267,447,319,492,156,15,101,784,165
Gsk3b,829,313,524,329,630,245,51,175,950,334
Gskip,389,166,216,189,280,97,30,55,361,79
Gsn,14676,6258,14546,11528,8738,6526,1285,1172,3395,2943
Gspt1,1373,576,923,627,946,356,127,231,1082,369
Gspt2,84,35,95,26,54,41,11,22,161,40
Gsr,1240,539,894,633,847,315,32,202,989,351
Gss,223,101,167,144,176,51,22,52,270,64
Gsta1,0,0,1,1,0,0,0,0,2,0
Gsta2,318,39,203,149,290,61,3,44,3,77
Gsta3,725,321,700,377,636,248,28,93,220,276
Gsta4,268,232,488,369,554,147,21,118,448,196
Gstcd,32,14,52,34,70,36,20,18,32,31
Gstk1,561,134,263,214,442,119,8,68,516,111
Gstm1,10781,3332,6685,5320,9401,2468,153,1063,1675,2688
Gstm2,5436,1848,3665,2684,4798,1320,55,694,3666,1839
Gstm3,6,1,3,4,2,8,5,1,1,4
Gstm4,1112,275,558,514,818,199,9,164,241,267
Gstm5,2869,1893,4908,2837,5327,2169,584,797,1288,2216
Gstm6,182,117,232,128,212,77,11,46,1576,104
Gstm7,1965,1544,3784,1518,2417,978,49,415,3765,1277
Gsto1,88,135,111,87,87,51,9,24,69,42
Gsto2,87,32,77,39,121,44,18,26,31,33
Gstp1,697,412,624,381,694,199,12,93,411,269
Gstp2,0,5,0,6,0,3,3,2,0,2
Gstt1,277,170,174,153,167,70,22,20,66,52
Gstt2,203,47,83,57,130,23,9,14,348,25
Gstt3,1289,397,873,471,1036,271,20,155,2062,358
Gstt4,44,46,102,56,101,55,24,18,47,34
Gstz1,344,113,213,141,252,69,23,60,374,95
Gsx1,3,2,1,2,2,0,5,0,0,4
Gsx2,3,0,4,2,1,5,5,2,0,6
Gt(ROSA)26Sor,249,109,176,104,199,54,13,61,194,90
Gtdc1,72,40,21,29,47,27,24,15,66,19
Gtdc2,119,46,106,52,131,39,9,9,225,34
Gtf2a1,754,234,494,363,450,214,70,143,642,229
Gtf2a1l,9,19,39,32,60,44,31,30,25,18
Gtf2a2,469,286,360,259,388,132,13,62,427,133
Gtf2b,548,191,333,322,361,119,19,81,464,137
Gtf2e1,161,69,93,90,108,42,23,30,116,54
Gtf2e2,361,211,256,172,274,133,46,64,282,115
Gtf2f1,374,116,255,172,355,98,19,68,514,116
Gtf2f2,266,98,179,110,229,50,23,51,197,87
Gtf2h1,488,283,311,240,322,161,56,91,355,142
Gtf2h2,117,59,75,65,78,41,15,31,103,37
Gtf2h3,291,131,162,149,258,95,30,50,265,105
Gtf2h4,113,38,88,63,77,33,9,25,82,44
Gtf2h5,896,307,571,331,666,166,13,96,532,227
Gtf2i,326,285,359,269,354,165,56,89,1147,137
Gtf2ird1,110,56,82,52,94,54,20,37,626,42
Gtf2ird2,46,37,30,43,25,40,24,35,101,33
Gtf3a,324,145,236,149,264,102,8,40,334,81
Gtf3c1,254,92,211,170,188,89,45,60,629,109
Gtf3c2,504,272,356,227,332,149,61,118,520,174
Gtf3c3,172,68,135,83,110,63,36,60,119,61
Gtf3c4,198,92,153,138,119,59,45,47,190,62
Gtf3c5,178,69,65,90,137,42,17,41,154,55
Gtf3c6,305,120,179,159,262,73,12,55,225,94
Gtl3,321,124,231,139,243,66,14,56,400,92
Gtpbp1,691,227,475,301,511,182,21,95,366,172
Gtpbp10,114,56,110,101,74,65,51,57,95,71
Gtpbp2,321,107,219,128,212,76,24,76,165,95
Gtpbp3,62,15,41,26,42,14,8,11,53,23
Gtpbp4,417,252,329,274,318,141,60,83,341,141
Gtpbp5,105,31,62,34,61,21,5,21,141,18
Gtpbp6,77,17,47,46,70,24,5,13,109,27
Gtpbp8,125,76,98,58,77,51,11,26,90,44
Gtse1,12,29,13,16,21,10,5,10,21,12
Gtsf1,10,24,35,10,56,27,13,11,10,22
Gtsf1l,2,4,6,3,13,13,3,4,3,2
Guca1a,17,21,15,6,16,7,7,4,3,9
Guca1b,7,18,6,18,8,16,16,19,2,12
Guca2a,0,1,0,2,0,0,1,4,0,1
Guca2b,2,5,1,3,2,2,0,2,0,0
Gucd1,265,178,270,149,175,97,13,65,262,108
Gucy1a2,23,45,32,55,32,86,114,133,13,100
Gucy1a3,256,207,183,136,138,116,116,76,72,86
Gucy1b2,3,5,2,9,2,23,19,17,1,15
Gucy1b3,31,13,16,20,11,16,29,29,7,10
Gucy2c,6,23,8,17,7,26,30,36,11,31
Gucy2d,1,10,4,7,1,19,15,23,0,15
Gucy2e,3,11,16,16,11,19,26,24,8,29
Gucy2f,9,18,11,22,2,37,52,56,13,35
Gucy2g,13,20,14,26,15,14,24,31,116,29
Guf1,152,105,131,85,100,81,106,106,115,122
Guk1,1839,426,788,712,1262,287,19,165,1128,367
Gulo,7,7,4,9,4,16,11,20,13,19
Gulp1,157,122,86,80,74,54,35,31,24,45
Gusb,450,329,452,260,470,178,29,106,641,157
Gvin1,0,0,0,0,0,0,0,0,0,0
Gxylt1,251,227,246,216,188,193,69,110,188,139
Gxylt2,26,16,17,25,23,21,5,10,8,14
Gyg,182,129,141,89,119,54,19,28,305,45
Gyk,2250,638,1721,1176,1774,506,33,327,2931,758
Gykl1,40,8,64,32,77,40,21,13,44,32
Gyltl1b,49,16,23,27,59,18,8,16,61,17
Gypa,2,5,4,5,4,10,11,10,8,4
Gypc,111,84,76,72,44,39,11,6,26,30
Gys1,251,58,149,121,203,55,7,43,336,63
Gys2,7,13,2,22,5,10,33,29,4,28
Gzf1,348,149,211,155,154,101,28,50,384,82
Gzma,1,3,1,2,0,0,3,5,2,2
Gzmb,7,38,13,21,8,24,28,38,19,30
Gzmc,2,14,6,18,5,13,21,17,4,21
Gzmd,0,12,11,5,7,6,11,14,3,14
Gzme,4,6,4,4,5,3,11,9,0,7
Gzmf,2,0,0,2,3,0,3,2,0,1
Gzmg,0,1,4,3,1,2,1,1,1,4
Gzmk,0,2,5,2,0,7,4,8,2,0
Gzmm,3,7,19,5,6,4,6,5,9,14
Gzmn,5,2,5,8,17,16,10,6,0,10
H13,1383,632,1089,749,1240,452,58,223,3518,441
H19,8,16,13,11,6,8,5,7,0,3
H1f0,1792,944,923,701,943,307,56,156,1434,322
H1fnt,66,46,113,60,193,92,25,19,66,30
H1foo,6,6,4,6,2,5,6,6,2,3
H1fx,83,36,65,35,58,28,6,11,44,25
H2-Aa,1182,1059,1541,1084,1267,642,147,138,377,314
H2-Ab1,1578,1340,2167,1485,1734,849,159,215,513,448
H2afb1,35,15,49,29,62,25,12,5,16,18
H2afj,774,233,555,338,868,218,7,99,729,226
H2afv,739,278,423,315,635,200,24,88,562,176
H2afx,236,148,159,130,211,70,8,33,476,66
H2afy,917,452,745,551,987,315,28,160,1500,317
H2afy2,74,51,45,66,63,38,9,19,223,24
H2afy3,4,9,10,10,9,12,16,6,12,10
H2afz,94,84,100,68,122,35,2,17,243,36
H2bfm,0,1,0,2,0,3,0,1,0,5
H2-Bl,0,2,4,2,2,5,6,6,1,11
H2-D1,3655,2417,3870,2225,3678,1275,107,569,3967,1267
H2-DMa,105,105,166,101,93,50,15,19,648,41
H2-DMb1,77,66,64,63,51,45,19,14,215,22
H2-DMb2,3,9,20,16,6,16,14,13,248,11
H2-Ea-ps,4,3,4,7,2,3,3,4,1,7
H2-Eb1,1112,899,1652,1082,1129,521,111,139,360,298
H2-Eb2,8,14,7,18,9,13,32,27,11,21
H2-K1,4074,3035,5093,2607,4230,1618,106,596,6295,1609
H2-K2,0,4,5,9,11,11,4,7,7,2
H2-Ke2,325,102,226,140,236,86,9,39,162,95
H2-Ke6,337,115,209,170,237,60,12,48,308,82
H2-L,16,11,27,9,11,4,0,4,12,3
H2-M1,0,0,1,0,0,3,3,1,1,5
H2-M10.1,3,2,1,5,3,4,7,7,0,3
H2-M10.2,2,1,7,4,5,10,6,14,0,10
H2-M10.3,2,2,1,7,0,6,4,8,0,10
H2-M10.4,4,2,3,1,0,2,4,0,0,1
H2-M10.5,4,1,3,13,0,9,19,17,3,12
H2-M10.6,0,2,1,3,1,6,2,4,1,9
H2-M11,2,1,0,1,0,5,1,1,0,1
H2-M2,14,10,11,10,22,7,10,9,7,5
H2-M3,46,54,55,31,38,38,10,11,77,22
H2-M5,0,4,1,5,0,4,9,17,0,4
H2-M9,4,4,4,5,2,11,12,12,1,15
H2-Oa,6,11,7,15,11,7,3,5,6,12
H2-Ob,6,15,17,20,22,11,11,9,4,20
H2-Q1,3,4,14,8,9,17,29,22,4,17
H2-Q10,0,3,2,11,1,5,2,5,2,3
H2-Q2,38,12,29,31,32,16,4,11,8,11
H2-Q4,12,20,18,16,18,11,4,5,13,10
H2-Q5,6,0,1,4,0,0,1,0,1,1
H2-Q6,0,0,0,0,0,0,0,0,0,0
H2-Q7,0,1,0,0,0,1,1,1,0,0
H2-Q8,0,0,0,0,0,0,0,0,0,0
H2-Q9,0,0,0,0,0,0,0,0,0,0
H2-T10,4,3,12,13,0,2,8,7,8,17
H2-T22,1,4,0,3,1,1,6,2,4,3
H2-T23,754,273,535,379,658,209,13,115,782,175
H2-T24,33,36,45,35,24,23,19,27,64,34
H2-T3,2,5,6,11,3,14,16,16,3,22
H2-T9,0,0,0,0,0,0,0,0,0,0
H3f3a,623,273,431,258,466,158,16,61,337,158
H3f3b,6017,2497,3642,2402,3630,1183,120,615,2918,1435
H60b,5,4,5,2,0,5,6,5,0,1
H60c,3,10,4,5,5,5,15,21,1,10
H6pd,526,180,381,269,397,210,31,74,740,130
Haao,9,6,9,9,10,9,11,5,4,8
Habp2,37,51,47,36,26,22,9,13,19,38
Habp4,549,268,477,349,425,204,62,71,542,143
Hace1,243,80,120,114,168,85,38,64,149,76
Hacl1,161,79,83,77,103,36,21,33,155,53
Hadh,1664,565,959,718,1173,314,32,196,1317,405
Hadha,850,288,516,357,598,192,44,122,829,201
Hadhb,220,70,131,79,174,51,30,43,276,87
Hagh,500,162,262,299,370,122,10,57,467,148
Haghl,223,91,139,141,156,52,19,32,192,97
Hal,5,9,2,2,4,9,25,17,27,16
Hamp,0,1,0,1,1,0,1,3,0,1
Hamp2,0,0,0,4,0,0,4,1,1,2
Hand1,1,1,5,6,2,2,7,4,2,3
Hand2,57,32,33,36,18,25,10,12,2,10
Hao1,3,10,4,12,6,10,25,34,1,24
Hao2,4,4,1,7,6,4,17,9,3,9
Hap1,99,40,95,47,111,54,18,31,643,42
Hapln1,7,15,11,14,6,16,27,19,4,15
Hapln2,3,1,4,7,6,11,6,12,1,7
Hapln3,1,5,1,1,1,7,2,3,22,3
Hapln4,16,17,6,17,13,4,13,6,4,10
Harbi1,179,74,112,74,159,72,25,41,170,60
Hars,477,295,342,252,342,117,28,56,521,96
Hars2,252,73,138,123,129,63,30,63,243,88
Has1,2,0,5,6,1,9,4,5,1,2
Has2,39,18,20,42,14,24,20,22,6,22
Has2as,6,11,3,10,2,3,2,1,1,5
Has3,2,12,2,15,2,9,20,14,10,10
Hat1,491,236,335,213,344,114,36,83,283,139
Haus1,165,78,111,73,130,48,15,24,108,38
Haus2,144,77,122,120,146,78,27,45,132,58
Haus3,89,69,48,61,79,41,26,21,106,42
Haus4,378,171,247,233,263,99,16,56,1258,131
Haus5,79,17,26,33,54,23,20,28,30,28
Haus6,72,54,79,63,78,47,47,57,57,72
Haus7,153,98,120,70,122,48,4,27,119,47
Haus8,67,45,45,48,51,35,24,25,29,29
Havcr1,2,5,3,4,0,17,10,12,8,7
Havcr2,20,28,35,43,18,32,38,33,25,37
Hax1,69,28,68,36,89,26,6,21,107,37
Hba-a1,0,0,0,0,0,0,0,0,0,0
Hba-a2,0,0,0,0,0,0,1,0,0,1
Hba-x,0,0,6,0,0,1,3,2,0,2
Hbb-b1,0,0,0,0,0,0,0,0,2,1
Hbb-b2,0,0,1,0,0,1,0,1,22,1
Hbb-bh1,1,1,0,1,0,3,0,2,0,0
Hbb-bh2,1,3,0,2,0,5,8,12,1,9
Hbb-y,3,0,1,2,0,1,2,6,0,4
Hbegf,56,29,29,37,58,40,33,36,213,35
Hbp1,1385,666,1017,681,948,402,70,212,1400,405
Hbq1a,0,0,1,1,0,4,1,2,3,0
Hbq1b,1,3,2,12,3,5,1,2,0,5
Hbs1l,507,254,379,251,366,146,34,104,429,165
Hc,8,27,14,36,11,56,57,55,11,39
Hccs,257,113,199,141,162,79,14,49,248,69
Hcfc1,486,159,346,175,319,146,31,113,482,196
Hcfc1r1,775,329,498,339,653,154,15,102,394,208
Hcfc2,133,74,116,83,135,84,39,42,185,50
Hck,46,68,39,56,45,31,21,20,32,27
Hcls1,98,124,89,91,70,66,18,25,40,30
Hcn1,24,64,36,71,20,74,79,90,17,97
Hcn2,11,21,23,5,7,4,14,9,9,10
Hcn3,11,5,17,13,5,21,12,17,3,13
Hcn4,2,14,5,15,9,4,15,13,39,11
Hcrt,0,0,0,1,0,0,0,3,0,1
Hcrtr1,0,2,3,2,6,5,4,8,10,3
Hcrtr2,2,7,3,19,4,27,23,19,6,21
Hcst,8,5,9,10,13,4,4,6,4,3
Hdac1,311,151,202,180,260,75,17,55,247,73
Hdac10,175,42,93,60,82,34,7,49,104,64
Hdac11,115,55,72,51,110,33,9,23,181,44
Hdac2,1070,471,579,489,676,234,41,132,1095,214
Hdac3,656,385,430,361,534,191,28,119,1010,214
Hdac4,134,87,127,60,82,66,30,41,186,66
Hdac5,653,232,495,355,496,188,24,118,544,220
Hdac6,2518,737,2009,1132,1737,734,22,474,322,960
Hdac7,214,119,159,130,173,108,36,41,131,88
Hdac8,54,29,22,28,23,18,13,14,78,21
Hdac9,46,135,59,110,43,143,167,172,42,139
Hdc,23,35,17,27,27,12,10,23,7,40
Hddc2,166,128,193,101,180,65,9,29,392,69
Hddc3,89,29,64,42,64,15,3,23,21,25
Hdgf,1653,912,1332,791,1290,494,79,201,994,448
Hdgfl1,25,18,77,14,105,46,16,12,34,16
Hdgfrp2,338,174,312,191,265,130,11,66,429,116
Hdgfrp3,834,267,467,311,568,214,65,121,398,205
Hdhd1a,1,6,12,6,20,11,4,4,13,12
Hdhd2,396,148,212,161,276,56,19,60,293,92
Hdhd3,131,51,130,64,116,39,2,20,134,50
Hdlbp,4235,1809,3050,2312,2872,1079,147,522,2872,1119
Hdx,8,11,4,11,3,14,18,20,3,16
Heatr1,145,125,136,102,89,99,78,109,141,112
Heatr2,109,59,72,46,90,34,9,22,136,22
Heatr3,332,161,256,219,222,112,46,73,300,92
Heatr5a,345,241,238,200,250,165,78,124,326,172
Heatr5b,149,90,94,92,128,74,69,64,119,99
Heatr6,145,81,97,100,81,66,27,56,179,57
Heatr8,63,32,107,78,140,84,41,42,27,45
Hebp1,75,19,50,42,54,17,3,7,47,14
Hebp2,552,121,260,210,366,114,8,48,589,89
Heca,129,69,130,94,114,55,50,61,110,82
Hectd1,1258,296,723,471,859,320,134,303,1324,417
Hectd2,10,23,12,38,21,26,39,48,456,21
Hectd3,314,115,188,141,190,85,15,52,321,86
Hecw1,38,61,48,63,25,100,106,123,30,107
Hecw2,54,48,50,58,49,70,84,86,22,72
Heg1,1003,621,840,674,648,339,77,132,110,231
Helb,74,29,57,42,48,55,49,44,32,41
Hells,57,46,32,61,27,63,76,51,25,81
Helq,83,45,70,66,57,46,27,44,56,39
Helt,0,0,1,2,2,3,3,3,2,0
Helz,384,129,237,163,159,109,64,130,295,145
Helz2,23,49,29,53,23,69,35,62,20,59
Hemgn,4,5,9,12,13,15,22,9,2,16
Hemk1,179,37,67,67,107,27,13,32,38,41
Hemt1,1,2,1,0,2,1,5,0,1,1
Henmt1,14,13,6,25,13,14,11,20,41,7
Hepacam,18,8,25,8,11,10,15,13,7,6
Hepacam2,31,32,27,33,29,9,5,24,77,24
Heph,46,72,64,36,35,47,29,38,19,54
Hephl1,49,39,82,66,40,63,69,82,11,77
Herc1,448,185,287,225,354,235,159,232,582,273
Herc2,334,145,277,197,293,229,236,278,708,256
Herc3,362,109,236,184,291,111,45,92,582,123
Herc4,345,151,172,193,206,79,44,60,202,113
Herc6,113,111,121,113,91,102,76,80,176,100
Herpud1,1015,470,962,557,1016,394,51,178,2851,359
Herpud2,626,263,438,358,671,219,78,136,865,221
Hes1,1804,372,943,592,1270,319,16,257,307,406
Hes2,21,9,5,7,0,5,5,6,4,8
Hes3,0,0,6,1,0,2,3,10,0,6
Hes5,45,11,22,32,49,20,0,9,1,6
Hes6,127,43,88,74,99,31,10,24,223,33
Hes7,0,0,2,4,0,1,2,1,5,0
Hesx1,6,10,29,15,13,17,25,14,3,18
Hexa,486,385,401,347,425,212,50,54,1698,119
Hexb,2939,781,1265,995,2026,537,36,259,3072,554
Hexdc,120,38,92,54,104,57,16,40,125,73
Hexim1,192,74,150,65,206,54,13,45,159,56
Hexim2,61,17,50,34,56,7,7,14,40,20
Hey1,31,17,40,62,38,9,7,16,7,17
Hey2,5,4,1,11,1,18,10,6,56,14
Heyl,888,135,341,449,692,163,7,99,19,178
Hfe,77,42,61,42,75,31,9,19,90,13
Hfe2,6,5,19,8,18,11,13,17,9,16
Hfm1,5,18,23,39,13,48,70,51,12,54
Hgd,3,16,11,9,1,9,14,33,3,22
Hgf,18,26,19,31,18,27,40,37,7,22
Hgfac,222,34,67,71,113,59,6,38,2293,88
Hgs,569,293,411,330,354,158,30,84,568,142
Hgsnat,711,274,501,390,626,204,54,134,679,255
Hhat,44,23,42,42,44,27,24,28,58,43
Hhatl,37,43,50,31,47,16,7,9,62,21
Hhex,25,39,35,17,16,23,14,20,19,9
Hhip,149,70,117,99,69,62,52,52,39,42
Hhipl1,14,4,0,5,6,5,7,5,30,10
Hhipl2,3,3,4,13,8,14,12,7,9,7
Hhla1,2,9,8,12,2,9,25,21,4,18
Hiat1,943,298,631,479,797,268,47,141,1609,339
Hiatl1,814,323,490,443,649,224,68,161,1154,272
Hibadh,1183,452,802,584,844,314,53,131,1302,278
Hibch,191,81,131,94,175,53,23,44,250,55
Hic1,152,89,87,88,45,44,13,10,16,25
Hic2,79,22,23,31,76,25,31,29,36,45
Hid1,12,14,15,21,11,12,8,13,61,7
Hif1a,1385,490,848,578,936,323,63,210,1077,387
Hif1an,587,254,426,324,378,203,38,136,231,189
Hif3a,33,25,18,31,12,25,26,30,12,29
Higd1a,172,93,192,77,180,59,14,28,286,81
Higd1b,6,4,2,6,0,5,1,5,0,6
Higd1c,1,0,0,0,0,0,0,0,0,0
Higd2a,510,197,304,239,465,97,14,50,450,124
Hilpda,62,23,40,21,46,22,7,11,59,25
Hils1,17,11,36,23,43,16,6,5,13,19
Hinfp,49,29,36,29,36,25,15,26,50,20
Hint1,1721,876,1585,820,1757,542,44,260,1235,661
Hint2,580,174,321,201,441,97,6,76,490,117
Hint3,289,84,198,169,260,57,12,33,258,86
Hip1,157,151,169,122,120,76,44,51,50,86
Hip1r,402,139,278,207,307,119,9,75,3525,133
Hipk1,1068,504,855,614,820,386,97,217,1027,400
Hipk2,221,77,144,100,127,58,21,35,184,66
Hipk3,1556,743,1173,952,1117,588,119,218,940,434
Hipk4,17,9,11,10,15,12,6,6,7,7
Hira,88,70,74,77,56,86,62,66,116,100
Hirip3,29,26,29,31,41,25,13,18,26,20
Hist1h1a,0,1,0,1,0,2,0,4,0,4
Hist1h1b,2,9,1,3,1,1,1,0,2,2
Hist1h1c,781,282,468,348,504,163,13,70,265,221
Hist1h1d,23,6,17,18,9,13,15,19,5,28
Hist1h1e,96,23,61,57,73,45,7,18,17,15
Hist1h1t,1,0,0,0,0,3,6,3,0,3
Hist1h2aa,1,0,0,0,0,2,1,1,0,0
Hist1h2ab,0,0,0,2,2,2,0,0,3,0
Hist1h2ac,13,16,17,31,24,31,29,23,8,14
Hist1h2ad,0,0,0,0,0,0,3,0,0,0
Hist1h2ae,2,7,0,4,6,3,2,1,3,0
Hist1h2af,0,0,0,0,0,3,0,0,0,0
Hist1h2ag,0,1,0,0,0,0,3,0,0,0
Hist1h2ah,0,0,0,1,0,0,0,1,0,1
Hist1h2ai,0,0,1,1,1,1,0,0,0,0
Hist1h2ak,0,2,0,0,0,0,0,0,1,0
Hist1h2an,0,1,0,1,0,0,0,0,0,0
Hist1h2ao,0,0,0,0,0,0,1,0,0,0
Hist1h2ap,0,0,0,0,0,0,0,0,0,0
Hist1h2ba,1,0,0,0,0,0,0,2,0,0
Hist1h2bb,0,0,5,1,0,1,0,0,1,2
Hist1h2bc,1559,407,939,598,1205,335,14,162,543,348
Hist1h2be,58,17,29,55,73,33,5,11,16,27
Hist1h2bf,0,1,0,1,0,0,1,0,1,0
Hist1h2bg,2,3,3,2,0,2,1,2,3,1
Hist1h2bh,1,0,0,4,1,1,0,2,0,0
Hist1h2bj,0,1,0,0,1,0,0,1,0,0
Hist1h2bk,5,0,0,0,0,0,0,1,0,0
Hist1h2bl,0,1,0,0,0,0,0,0,0,0
Hist1h2bm,0,0,0,3,0,0,0,0,1,0
Hist1h2bn,0,0,0,1,0,0,0,0,0,0
Hist1h2bp,0,1,0,2,2,5,6,5,3,1
Hist1h2bq,0,0,0,0,0,0,0,0,0,0
Hist1h2br,0,0,0,0,0,0,0,0,0,0
Hist1h3a,0,0,2,2,0,0,2,3,2,1
Hist1h3b,0,0,0,0,0,0,1,0,0,0
Hist1h3c,0,2,0,0,0,0,0,0,0,1
Hist1h3d,0,1,0,0,0,0,0,0,0,0
Hist1h3e,1,0,0,2,4,0,0,2,3,0
Hist1h3f,2,0,0,3,2,1,4,1,0,3
Hist1h3g,1,0,0,0,1,2,1,1,0,1
Hist1h3h,0,0,1,0,0,0,1,1,0,1
Hist1h3i,0,1,0,0,0,0,2,1,0,1
Hist1h4a,0,1,0,0,3,3,0,1,0,2
Hist1h4b,0,2,0,0,0,0,2,1,0,0
Hist1h4c,1,1,0,0,1,1,0,1,0,1
Hist1h4d,16,13,13,12,5,2,0,0,40,1
Hist1h4f,1,1,1,2,4,0,1,1,2,0
Hist1h4h,31,16,28,17,46,15,0,8,6,17
Hist1h4i,5,2,10,1,3,4,2,2,4,4
Hist1h4j,0,1,0,0,1,0,0,1,1,0
Hist1h4k,0,1,0,1,0,0,1,2,0,0
Hist1h4m,0,0,0,0,0,0,0,0,0,0
Hist1h4n,0,0,1,1,0,0,0,0,0,0
Hist2h2aa1,0,0,0,0,0,0,0,0,0,0
Hist2h2aa2,0,0,3,0,1,2,0,3,2,1
