Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
Clpsl2,0,0,0,0,0,0,10,0,6,2
Clptm1,2530,1959,2230,2372,2291,2164,2188,2033,1576,1680
Clptm1l,3207,2425,2882,3011,3085,3139,3076,2794,2226,2396
Clpx,1567,1347,1569,1446,1536,1461,1485,1441,1174,1165
Clrn1,4,2,4,3,12,6,2,0,8,4
Clrn2,1,0,0,0,0,0,0,0,0,1
Clrn3,2,1,4,5,4,1,0,0,3,1
Clspn,499,349,479,491,496,554,559,537,419,391
Clstn1,686,774,650,524,575,565,641,601,506,537
Clstn2,41,26,10,23,10,10,17,10,6,4
Clstn3,55,51,13,19,12,15,3,4,4,7
Clta,1064,657,949,959,1030,964,1077,798,697,685
Cltb,3254,2371,3855,3025,4051,4081,4299,3504,2952,3052
Cltc,10622,8988,11393,12586,11238,11563,10524,9636,9913,10576
Clu,2226,2057,337,975,408,440,385,1115,57,196
Cluap1,448,356,458,397,503,500,506,387,306,357
Cluh,893,852,644,823,583,599,513,557,369,446
Clvs1,1105,846,1208,1298,1322,1375,1380,1120,1149,1244
Clvs2,1145,803,1356,1270,1533,1515,1547,1477,1285,1326
Clybl,981,794,1181,1065,1171,1127,1194,1071,872,910
Cma1,0,0,0,4,0,3,1,2,0,0
Cma2,0,0,0,0,0,0,0,0,0,0
Cmah,40,35,42,41,61,81,68,34,50,53
Cmas,1716,1513,2051,1725,1971,1950,1979,1828,1590,1514
Cmbl,60,55,11,16,36,12,5,10,12,11
Cmc1,901,611,1059,867,1126,1057,1217,851,757,734
Cmc2,595,362,701,523,739,717,761,531,421,428
Cmip,504,240,144,246,94,151,82,98,26,39
Cmklr1,14,8,24,14,26,15,19,15,5,10
Cml1,45,26,42,28,32,25,30,26,9,21
Cml2,614,472,801,659,744,767,793,703,519,588
Cml3,3,15,16,19,22,18,27,13,10,15
Cml5,0,0,0,3,1,0,2,0,0,1
Cmpk1,1999,1455,2010,1973,2015,2197,2025,1975,1702,1555
Cmpk2,1462,1093,1822,1573,1674,1784,1913,1547,1495,1431
Cmss1,256,161,220,216,265,233,240,162,132,156
Cmtm1,8,5,10,7,2,2,2,4,1,3
Cmtm2a,120,82,127,79,138,98,155,129,101,88
